stage,Epithelial_cell,Hepatocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Oligodendrocyte,Spermatocyte
24hpf,0,0,4.09,0,0,0,0
72hpf,0,0,0,0,1.07,0,0
21Day,0,0,0,1.34,0,0,0
3Month,0.32,0.64,0,2.24,0,0.32,7.04
