stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,4.09,0,44.95,0,0,0,0,0,36.78,0,0,0,0,20.43,8.17,49.04,0,0,0,0,8.17,261.53,0,0,16.35,0,0,0,0,4.09,0,0,0
72hpf,0,2.14,0,8.56,0,0,0,0,0,1.07,0,0,0,0,0,0,4.28,0,0,0,0,3.21,6.42,0,0,1.07,0,2.14,0,0,0,0,0,0
21Day,1.34,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.39,0,0,0,0,0,0
3Month,0.64,2.88,1.6,5.12,0,2.24,0.32,1.6,3.2,0,16.32,5.12,7.36,2.24,4.16,3.2,5.12,1.28,0.32,0.64,4.48,0,0,2.88,0,0.32,7.68,669.97,0,0.32,0.32,1.92,150.38,3.52
22Month,0,3.28,0,2.19,0,0,0.55,0,0.55,0,10.39,0,2.73,0,0.55,2.19,1.09,0,0.55,1.09,0,0,0,2.19,1.64,0,1.09,227.41,0.55,0,0,0,2.19,0
