stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Mesenchymal_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,12.26,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,1.07,1.07,0,0
21Day,1.34,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0.32,0.32,0,0.32,0,0.64,0.32,0,0,1.92,0.32
22Month,0,0,0,0,3.28,0.55,1.09,0,0,0,13.67,0
