stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_progenitor_cell,Primordial_germ_cell,T_cell
72hpf,0,0,0,0,1.07,0,0
21Day,1.34,0,0,0,0,0,1.34
3Month,0.32,1.92,0.64,0.32,0,0.32,0
22Month,0,2.73,0,1.09,0,0,0
