stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,8.17,0,4.09,0,0,0,0,0,408.64,0,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,5.35,2.14,0,2.14,7.49,5.35,1.07,0,0,0,0,2.14,0,6.42,11.77,2.14,36.37,0,3.21,1.07,0,63.12,264.24,0,14.98,0,33.16,0,0,63.12,1.07,1.07,0,0,0
21Day,10.71,0,0,22.76,4.02,12.05,13.39,1.34,2.68,0,0,12.05,0,2.68,8.03,4.02,25.43,0,0,2.68,0,12.05,56.22,0,4.02,0,10.71,1.34,1.34,236.92,0,1.34,0,0,2.68
3Month,0,0.32,0,7.36,0.32,0,0,1.28,2.24,15.04,1.92,0,2.56,0.96,1.28,1.6,2.56,0.96,0,1.6,0.64,0.32,0,0.64,1.92,0,0.96,0.64,167.33,9.92,0,0,0,51.51,2.56
22Month,0,2.19,2.73,3.28,1.09,0,1.09,0.55,1.64,55.21,3.83,2.19,12.03,0.55,2.73,4.37,2.73,0.55,1.64,1.09,0,0.55,0.55,0.55,1.09,0.55,0,0.55,20.77,3.28,0,0.55,0.55,0,0.55
