stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,0,135.19,0,0,0,0,0,1.34,0,0,1.34,5.35,37.48,0,6.69,0,0,8.03,2.68,0,1.34,1.34,1.34,1.34,0,2.68,1.34,0,0,0
3Month,0,0.32,1.28,117.1,0.96,0.32,0.32,0.96,2.88,4.48,5.12,0,3.52,61.43,4.16,1.92,1.92,0.32,5.76,1.28,0,0.32,0,0,4.16,0.32,0,0,0,0.32,2.24,0.32
22Month,0,0,0,128.46,0.55,0,0,0.55,5.47,10.39,1.09,0.55,1.64,2.73,0.55,2.19,2.73,0,0,0,0,0.55,0,0,5.47,0,0.55,0,0,0.55,0,1.09
