stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0
72hpf,0,1.07,0,0,0,0,0,0,2.14,0,0,0
21Day,1.34,0,0,0,0,0,0,0,0,0,1.34,0
22Month,0,0,6.56,9.29,1.09,6.01,1.64,0.55,0,0,0,0.55
