stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
72hpf,0,0,0,2.14,0,0,0,0,0,0,1.07,0,1.07,0,0,171.17,11.77,0,0,3.21,1.07,0,0,7.49,1.07,0,0
21Day,2.68,0,0,4.02,0,0,0,0,1.34,0,4.02,0,0,0,2.68,52.2,5.35,0,0,2.68,0,1.34,0,9.37,4.02,0,0
3Month,0,0,0,1.28,1.28,1.28,0,2.56,0.96,0.64,0.32,0,0.96,0.32,0,0.64,0.32,0.96,0,0,0,2.24,0,0.32,0,0.64,0.96
22Month,0,0.55,0.55,1.09,5.47,2.19,1.09,12.57,0.55,2.73,0.55,0.55,1.09,0.55,0,2.73,0,0.55,0.55,0,0,1.09,0.55,36.63,0,0,0
