stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,4.09,0,0,4.09,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,0,0,2.14,0,0,1.07,0,27.81,2.14,0,0,0,7.49,5.35,0,0
21Day,2.68,1.34,0,0,0,0,0,0,0,2.68,0,2.68,2.68,0,1.34,0,0,2.68,0,0
3Month,0,4.16,0.32,0.32,3.84,1.6,0,2.56,0.32,4.48,0.32,0,0,0.64,61.43,0.32,0,0,35.83,0.32
22Month,0,0,0,0,5.47,0,0,1.09,0,1.64,0,0,0,0,7.11,0,0,0,0,0
