stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell
24hpf,16.35,4.09,4.09,0,0,0,0,0,0,0,0,16.35,32.69,1356.69,0,0,0,0,0,0,0
72hpf,11.77,2.14,5.35,2.14,6.42,0,1.07,0,3.21,5.35,1.07,12.84,600.15,571.27,1.07,1.07,9.63,43.86,0,54.56,0
21Day,1.34,0,5.35,0,4.02,0,0,8.03,1.34,1.34,0,2.68,87,159.29,0,0,2.68,80.31,0,37.48,8.03
3Month,0,0,0.64,0,0,0.32,0.32,12.8,0,0,0.32,0,0,0.64,0,0,0,3.52,0,0,0
22Month,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0,1.09,0.55,0,0
