stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Retinal_cell,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,8.56,0,0,0,0,1.07,0,0,0,0,0
21Day,0,0,0,9.37,0,0,0,4.02,0,0,0,4.02,0,1.34,2.68,1.34,1.34,0,0,0,0,0,0,0,2.68
3Month,0,0,0,0.32,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0.32,0,0
22Month,1.09,3.83,15.85,139.94,4.37,3.83,10.39,106.05,41.55,32.8,26.79,10.93,36.08,4.92,6.56,77.08,4.92,2.19,1.09,2.19,2.73,1.64,0,0.55,86.37
