stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Osteoblast,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0
21Day,1.34,1.34,0,1.34,0,0,0,0,0,0,0,2.68,1.34,1.34,0,4.02,0,0
3Month,0,0.32,1.28,0,0.32,0,0,0.64,0.32,0,0.64,0.64,0,0,0.32,0,0.32,0.64
22Month,0,0.55,1.09,0,0,1.09,0.55,8.75,0.55,1.09,3.28,0,1.64,1.09,0.55,0,0,0.55
