stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,0,13.91,2.14,0,0,0,0,0,2.14,8.56,16.05,0,0,0
21Day,0,1.34,0,0,0,0,0,0,0,0,1.34,0,0,0,0,1.34,2.68,0,0,0,5.35,1.34,0,0,0,0,0,0,5.35,1.34,1.34,0,1.34
3Month,0,2.88,0.64,1.6,0,0,0,0,0,0,47.67,0.64,0,1.28,0.32,1.28,0.96,0,0,0.32,0,0,0,0,0,0.64,0.64,0,0,0,0,0.32,0
22Month,0.55,3.28,0,6.56,0,6.01,1.09,0.55,3.83,0.55,1689.16,1.09,1.09,6.01,0.55,2.73,7.65,94.57,1.64,0,0.55,0.55,0.55,1.09,2.19,1.09,1.09,0,1.09,0,0,0,2.19
