stage,Epithelial_cell,Erythrocyte,Goblet_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell
72hpf,1.07,0,0,0,0,2.14,0
21Day,0,1.34,0,1.34,0,2.68,0
3Month,1.28,0,0,0,0.32,0,0
22Month,0.55,0,0.55,0,0,0,0.55
