stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,13.91,0,0,0,0,0,0,0,0,0,0,16.05,52.42,20.33,1.07,0,0,0,0,1.07,0,0,0,0,1.07,0,0,0,0,0,0,0,0,1.07
21Day,1.34,0,2.68,91.02,4.02,0,0,1.34,0,0,10.71,2.68,12.05,25.43,4.02,44.17,48.19,8.03,0,0,16.06,0,10.71,4.02,8.03,0,0,4.02,4.02,0,1.34,0,4.02,2.68,0,0,46.85
3Month,0.32,4.8,5.76,131.5,0,1.6,0.32,60.47,9.92,0,175.97,9.6,2.24,302.99,0.96,82.87,194.21,8.32,2.24,0,17.6,1.92,1.92,0.64,8.96,0.64,0,0.96,7.36,5.76,0.64,0,0,0,95.34,3.52,138.22
22Month,1.64,7.65,20.23,68.33,0,0,0,51.93,10.39,3.28,453.18,3.28,6.01,573.99,1.09,30.61,149.24,9.29,1.09,3.83,20.23,0,0.55,0,8.2,1.64,0.55,0,3.28,0.55,0,0.55,0,0,21.87,0,89.1
