stage,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,4.09,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.07,3.21,0,1.07,0,97.35,6.42,3.21,1.07,1.07,0,0,0
21Day,2.68,9.37,0,0,0,0,0,1.34,0,0,5.35,0,5.35,0,93.7,2.68,12.05,1.34,2.68,1.34,0,0
3Month,2.88,0,0.64,0.32,0.64,4.16,1.28,0,0.96,0,1.28,0.32,0,0,0.96,0,2.88,0,0,0,0.32,1.6
22Month,2.19,0,0,0,2.19,30.07,1.09,0,6.01,0,1.09,1.09,0.55,0.55,1.09,0,3.83,0.55,0,0,0,0
