stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Primordial_germ_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,1.34
3Month,0.32,1.28,0.32,1.28,0,0.32,0.32,1.92
22Month,0,1.09,1.64,0.55,0.55,0,0,1.64
