stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,2.68,0,0,0,0,0,0,1.34,1.34,0,0,0,0,0,1.34,0,0,0
3Month,0,0.96,7.36,0.32,15.68,0.96,0.32,13.44,0.64,0,0.32,0,0.32,0.32,0.32,0.64,0.64,0.32,0.64,0.96
22Month,0,0,1.64,1.09,20.77,0.55,0,27.33,0.55,0,3.28,0.55,0,0,0,0,0,0.55,0,0.55
