stage,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Macrophage,Neural_cell,Retinal_cell,T_cell
72hpf,0,0,0,0,0,4.28,0,0
21Day,0,0,0,0,0,1.34,1.34,0
3Month,0.32,0,0.32,0,0,0,0,0
22Month,0,0.55,3.28,0.55,0.55,0,0,0.55
