stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,24.52,0,0,0,0,0,0,0,0,0,0,16.35,0,0,4.09,286.05,12.26,0,0,4.09,0,0
72hpf,3.21,1.07,5.35,1.07,0,0,0,0,0,0,1.07,2.14,0,17.12,2.14,1.07,9.63,46,5.35,1.07,2.14,0,0,0
21Day,1.34,0,4.02,33.46,4.02,0,0,1.34,2.68,1.34,0,0,0,1.34,0,0,2.68,14.72,0,0,0,0,0,0
3Month,0,0.32,0.64,0,0,0.32,0.96,3.2,0.32,1.28,0.32,0.32,0.32,0,0.32,0.32,0.32,0,0,0.64,0,0,1.28,0.32
22Month,0,0,0.55,0,0,0,1.09,7.65,0,1.64,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0
