stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Retinal_cell,Retinal_cone_cell
24hpf,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,2.14,1.07,1.07,1.07,0,2.14,94.14,3.21,1.07,0,3.21,0
21Day,0,0,2.68,0,5.35,1.34,16.06,2.68,0,1.34,10.71,10.71
