stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,36.78,20.43,12.26,0,4.09,0,0,0,0,4.09,4.09,12.26,40.86,20.43,130.76,0,0,0,0,77.64,28.6,4.09,0,8.17,0,0,0,0
72hpf,9.63,17.12,1.07,20.33,0,1.07,0,0,0,0,0,1.07,37.44,0,2.14,0,0,0,0,16.05,10.7,0,1.07,1.07,0,8.56,0,0
21Day,6.69,14.72,9.37,20.08,2.68,0,0,0,0,0,0,0,8.03,14.72,9.37,0,0,2.68,1.34,16.06,2.68,1.34,4.02,0,0,2.68,1.34,2.68
3Month,0.64,0.32,1.28,0.32,0,0,0,1.28,0.32,0,0,0,0,0.32,0.32,0.32,0,0.32,0.32,0,0,0,0.64,0,0.64,0,0,0
22Month,0,0.55,0,0,0,0,1.09,5.47,0.55,0,0.55,0,0,0.55,1.64,0,0.55,0,0,0,0,0,0,0,0.55,0.55,0,0
