stage,Enterocyte,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Retinal_pigment_epithelial_cell,T_cell
72hpf,0,0,0,0,0,0,1.07,0
21Day,0,0,0,0,0,0,4.02,0
3Month,0.32,0.32,0,0.32,0,0,0,0
22Month,0,5.47,1.64,0,1.64,0.55,0,0.55
