stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,4.09,0,0,0,12.26,0,0,8.17,0,0
72hpf,0,0,0,0,0,0,0,0,2.14,0
21Day,0,0,0,0,6.69,0,2.68,0,0,0
3Month,0,0.32,0.32,0.32,0,0.32,0,0,0,0.32
22Month,0,0,0,0,0.55,0,0,0,0,0.55
