stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,40.86,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0,0,81.73,0,0,0,0,0,216.58,0,0,0,0,0,0,0,0,0,0,0
72hpf,29.95,10.7,0,10.7,3.21,3.21,0,0,0,0,0,0,0,1.07,7.49,1.07,197.91,0,0,12.84,1.07,25.67,24.61,0,1.07,273.87,1.07,0,5.35,0,0,8.56,0,0
21Day,40.16,4.02,0,56.22,1.34,9.37,0,0,0,0,1.34,1.34,1.34,2.68,12.05,0,469.83,0,0,82.99,0,32.12,20.08,1.34,0,131.18,16.06,0,0,6.69,5.35,4.02,0,4.02
3Month,0.32,1.6,0.32,13.12,0,0,0,1.92,0.96,5.44,1.92,0,0.64,0.32,0.64,1.28,49.91,0.32,0,3.52,0.64,0,0.32,0.64,0,25.6,0.64,0.32,0.96,0,0,0.32,13.12,0.32
22Month,1.09,4.92,0,17.49,0.55,0,1.09,3.83,5.47,33.35,1.09,1.64,3.28,0,1.09,2.73,49.75,0,2.73,8.2,0,0.55,0,1.64,0,46.47,0,1.64,9.84,0.55,0,0,4.37,2.19
