stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,7.49,0,0,0,1.07,0,0,0
21Day,2.68,0,0,2.68,1.34,0,1.34,0,0,0,1.34,1.34,0,1.34,4.02,0,13.39,0,0,1.34,1.34,0,1.34,5.35,4.02,0,0
3Month,0,0.96,0,2.88,0,0,0,0.32,0.64,0,0.96,0,0.96,0.32,1.6,0,0.64,0,0,0,0,0,0,0,0,0.96,0
22Month,0,0.55,0.55,10.93,0,0.55,0.55,0.55,1.09,2.19,36.63,1.64,3.83,0.55,4.37,3.83,3.83,8.75,0.55,1.09,0,0.55,0,0.55,0.55,0,1.64
