stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8.17,0,4.09,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,8.17,12.26,0,0,0,0,4.09,32.69,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,3.21,0,2.14,0,1.07,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,10.7,0,0,1.07,1.07,28.88,2.14,0,0,0,2.14,0,0,1.07,1.07,1.07,0,0,0
21Day,2.68,0,0,14.72,1.34,0,0,0,0,0,0,0,0,0,0,1.34,0,0,2.68,0,4.02,0,0,2.68,0,8.03,9.37,1.34,0,0,4.02,4.02,1.34,4.02,0,0,0,0,2.68
3Month,0,4.16,0,17.92,0,0,0,0.32,0.32,4.8,4.48,0,0,18.56,7.68,0,4.8,0.96,5.76,3.52,12.16,1.28,0,3.2,1.92,1.28,0,1.92,0.64,0,0,1.6,9.6,0,0,0.32,0.32,6.08,11.52
22Month,0,12.57,0.55,21.32,0,0,1.09,0.55,0,2.73,12.03,56.85,0,156.89,4.92,0.55,6.56,0,5.47,8.2,20.23,0,1.64,0.55,0,0.55,7.11,2.19,6.01,2.19,0.55,1.09,4.92,7.65,1.64,4.37,0.55,0,13.67
