stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,73.56,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,2.14,0,0,3.21,0,0,0,0,0,0,0,0,7.49,0,0,0,0,0,3.21,2.14,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,6.69,0,0,1.34,0,0,18.74,0,0,1.34,49.53,22.76,0,0,1.34,45.51,5.35,0,0,0,0,6.69,0,0,0,0,1.34,0,0,0,0,0,0,0,5.35
3Month,0.64,2.24,1.28,27.52,0,0,0.96,0.64,16.32,143.34,0,0,50.23,1947.85,5.44,14.08,2.88,6.4,109.1,57.27,14.08,0,4.16,3.84,3.84,0,0.64,1.28,0,0.96,2.24,6.72,8.64,0,0,7.68,13.44,30.72
22Month,0.55,8.2,1.64,4.92,0.55,3.28,4.37,0,19.13,279.89,1.64,0,50.29,988.35,17.49,3.83,0,1.64,107.14,25.15,1.09,2.73,2.19,0,0.55,0,2.19,0.55,37.72,0,3.28,0,65.05,0.55,0.55,0.55,0.55,16.4
