stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0
21Day,0,0,4.02,0,0,0,0,0,0,0,0,5.35,0,0,0,0,0,4.02,0,0,0,0,0,0
3Month,0.32,0.32,45.75,0.64,1.6,0.64,1.28,4.48,1.28,5.12,2.24,1.6,76.79,2.56,0.32,0.32,0.32,0.64,0,0.96,1.92,0,0.32,42.87
22Month,0,0,4.92,0,0,0,0.55,4.37,0.55,0,0.55,0.55,10.93,0,0,0,0,0.55,0,0,0,0.55,0,2.73
