stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,28.6,4.09,0,212.49,0,0,4.09,0,0,0,0,0,0,0,4.09,0,24.52,89.9,0,0,0,0,12.26,183.89,0,0,8.17,0,0,0,0,0,0,0
72hpf,2.14,0,0,5.35,0,3.21,5.35,0,0,0,0,0,0,0,2.14,12.84,2.14,18.19,0,0,3.21,0,326.29,66.33,0,0,5.35,0,0,2.14,0,1.07,0,0
21Day,2.68,0,0,2.68,0,5.35,4.02,0,0,0,0,1.34,0,0,1.34,5.35,2.68,28.11,0,0,1.34,0,232.9,36.14,0,1.34,4.02,6.69,0,4.02,2.68,1.34,0,0
3Month,0,0,0.32,4.48,0.32,0,0,0.32,1.28,0,2.88,1.92,0,1.28,0.32,3.84,8.32,6.08,0.64,0.32,0,0.64,5.12,0.96,0.64,1.6,0,0.96,1.6,1.6,0,0.32,0.32,0
22Month,0,0.55,0,0,0,0,0,0,4.37,1.09,8.75,2.19,0.55,1.09,0,0,1.09,2.19,0,0,0,0,5.47,1.09,0,0.55,0,0,0,4.92,0,0.55,0,0.55
