stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,4.09,0,0,0,0,265.62,0,0,0,0,0,0,8.17,0,0,0
72hpf,0,1.07,0,3.21,0,0,0,0,0,0,0,0,0,0,5.35,0,0,2.14,1.07,0,0,18.19,80.23,0,0,0,0,0,9.63,0,0,0,0
21Day,1.34,0,1.34,12.05,0,1.34,0,0,0,0,0,0,0,0,0,0,0,1.34,0,1.34,0,22.76,21.42,0,0,2.68,0,0,2.68,1.34,0,0,1.34
3Month,0.32,0.64,0.64,27.2,0.32,0,0.32,0.64,15.68,3.2,9.6,0.64,0,26.88,0.96,1.6,1.6,0.32,0,0.64,2.88,0.64,1.6,0.64,0,0.64,0.32,0.32,2.24,0.64,0.32,0.64,0.64
22Month,0.55,0.55,0.55,12.03,0,0,0,0,11.48,3.28,47.01,0,0.55,19.13,0,0.55,2.19,1.09,0.55,1.64,0,0,1.64,1.09,1.09,0,0,0.55,3.28,0.55,0,0,0
