stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,4.09,12.26,0,0,0,0,4.09,98.07,0,0,0,0,0,0,0,0,0,4.09,0,0
72hpf,2.14,0,0,1.07,1.07,0,0,0,0,0,0,1.07,0,1.07,3.21,0,1.07,0,4.28,0,1.07,49.21,14.98,2.14,0,0,3.21,0,0,2.14,0,0,0,0,0
21Day,9.37,1.34,4.02,64.25,5.35,0,1.34,0,0,99.05,0,4.02,14.72,4.02,36.14,4.02,44.17,1.34,0,4.02,1.34,73.62,30.79,1.34,2.68,0,28.11,14.72,0,20.08,10.71,5.35,0,0,4.02
3Month,1.28,1.92,0.32,22.4,0,0.96,3.52,4.16,0,794.43,8,1.6,27.52,2.88,6.4,1.6,7.04,2.56,2.88,2.56,0.96,0.64,0.32,1.6,0.64,0,0.96,8.96,7.04,1.28,0,0,0.32,0.32,1.92
22Month,1.09,0.55,1.09,1.64,0,0.55,4.37,1.09,4.92,382.66,1.09,0.55,6.56,0,1.09,1.64,6.56,0.55,9.29,0,0,0.55,1.09,2.19,1.09,0.55,0.55,0,0.55,4.92,0,0,0,0,1.09
