stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,4.09,0,0,20.43,20.43,0,0,0,0,0,0,0,0,0,0,0
72hpf,7.49,2.14,1.07,2.14,0,0,0,0,0,0,7.49,0,4.28,0,0,327.36,19.26,1.07,6.42,9.63,0,0,56.7,25.67,20.33,3.21,0,0
21Day,2.68,0,12.05,8.03,2.68,0,1.34,1.34,4.02,1.34,8.03,4.02,9.37,2.68,1.34,186.06,16.06,6.69,5.35,6.69,2.68,0,2.68,108.42,542.11,1.34,0,1.34
3Month,0,0,1.28,0,0,0.32,0,0,1.28,0,0.64,0.32,0,0,0,0.64,0.64,3.2,0,0,0,2.88,0,0.64,0.32,0,0.32,0.32
22Month,0,0,0.55,0,1.64,4.37,0,0,1.64,0,0,0,0.55,0,0,0.55,0,1.64,1.64,0.55,0,15.85,0,12.03,1.09,0,0,0.55
