stage,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,28.6,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,11.77,0,0,0,0,0,35.3,0,0,0,0,1.07,0,0,0,0,0,0
21Day,0,1.34,2.68,0,0,0,0,1.34,8.03,1.34,0,0,0,0,0,0,0,0,0,0
3Month,0,0,7.36,0.32,9.28,0.32,0.32,0.32,8.64,0.64,0,0,0.32,0,0,0.64,0.32,0,0.32,0.32
22Month,1.09,0,4.92,4.92,36.08,0,2.73,0,7.11,6.01,2.19,0.55,1.64,0,0.55,0,0.55,1.09,0,0
