stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,4.09,0,0,20.43,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,1.07,0,0,0,9.63,4.28,1.07,0,0,2.14,0,0,0
21Day,0,0,1.34,2.68,2.68,0,0,0,0,0,0,0,2.68,0,0,1.34,0,0,0,0,0
3Month,0,0.32,0.96,0,0,2.88,0.32,1.28,0.32,0.64,0,0.64,0.64,0,0,0.32,1.92,0,0.32,3.52,0.32
22Month,0,0,1.09,0,0,4.37,0,0,0,0,0.55,0.55,0,0,0,0,0.55,0,0,0,0
