stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,8.17,16.35,0
72hpf,1.07,1.07,1.07,1.07,1.07,1.07,0,0,0,0,2.14,2.14,2.14,0,8.56,2.14,3.21
21Day,0,1.34,6.69,0,2.68,1.34,1.34,0,1.34,1.34,2.68,1.34,2.68,1.34,6.69,4.02,1.34
22Month,0,0.55,0,0,0,0,0,0.55,0,0,0,0,0.55,0,0,0,0
