stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0,1.07,0,0
21Day,0,1.34,6.69,0,9.37,0,0,0,0,1.34,52.2,1.34,1.34,4.02,1.34,0,0,1.34,0,0,0,1.34,0,0,1.34,14.72
3Month,0.96,1.92,0,0.32,2.24,0.32,0,0,0.64,0.64,2.88,0,0.96,0.96,0.96,0.32,0,0,0,0,0.32,0,0.64,0,0,26.56
22Month,0,0.55,0,0,0,0,0.55,0.55,6.56,0,0,0.55,0,0,0.55,0,0.55,0,0,0.55,0,0,0,0,0,10.39
