stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,8.17,8.17,0,8.17,0,0,4.09,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,10.7,5.35,1.07,0,0,0
21Day,2.68,2.68,1.34,0,2.68,0,0,0,1.34,0,1.34,5.35,4.02,1.34,1.34,2.68,0,2.68
3Month,0,2.24,0,0,0,0.64,0.64,0.64,0,0.64,0.32,0.64,0,0,0,0,0,0
22Month,0,0,0,0,0,1.09,5.47,0,1.09,0,0.55,0.55,0,0,0,0,0,0
