stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0
72hpf,0,0,0,3.21,0,0,0,0,0,0,0,0,0,0,2.14,0,0,1.07,0,0,0,0
21Day,0,0,0,2.68,0,0,0,0,0,0,0,0,0,0,5.35,0,0,0,0,1.34,0,0
3Month,0,1.92,0.32,0,0.32,4.16,0.32,0.64,0.32,0.64,0.64,0,0.64,0.32,0,0,0,0.96,0.32,0,0.32,0.64
22Month,0.55,0.55,0,0,1.09,12.57,0,0,0.55,0,1.09,1.64,0,0,0,0,0.55,0,0,0,0,0
