stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,2.14,0,0,0,53.49,13.91,0,3.21,0,0,2.14,0,0,0,0
21Day,0,0,1.34,2.68,1.34,0,0,0,0,0,0,0,0,0,0,0,0,5.35,0,0,0,18.74,6.69,0,2.68,1.34,0,0,0,0,0,0
3Month,0.32,0.32,1.92,0,0,0,0.32,0.64,0.32,0,4.16,0.64,0,0.96,0.32,0.96,0.96,1.6,0.32,0,0,0.64,0.64,0.32,0,0,0.32,0,0,0,1.6,0.96
22Month,0,2.73,3.28,0,0,0.55,0,0.55,4.37,1.64,37.17,0.55,0.55,3.83,0.55,0,3.28,2.19,0,2.73,0.55,1.09,0,0.55,0.55,1.09,0,0.55,0.55,0.55,0,1.09
