stage,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,T_cell
3Month,0.32,0.96,0.32,0.32,0.64,0.32,0.32,0.32,39.03,0.32,0.32,0.32,0.32
22Month,0,0,0,0.55,0,0,0,0,3.83,0,0,0,0
