stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,6.42,2.14,0,1.07,0,0
21Day,1.34,1.34,1.34,0,0,0,0,0,0,0,0,0,0,1.34,0,0,1.34,0
3Month,0,1.28,0,0.32,0.32,1.28,0,0.96,0,0.32,0,0.32,0,0,1.28,0,0,0.32
22Month,0,0.55,0,0.55,0,0.55,0.55,0.55,0,0,0,0,0,0,0,0,0,0
