stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell
24hpf,0,0,0,4.09,0,0
72hpf,0,0,0,0,0,5.35
21Day,1.34,0,0,0,0,1.34
22Month,0,3.28,0.55,0,0.55,0
