stage,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,16.05,0,1.07,0,1.07,0,0,0,0
21Day,2.68,1.34,0,0,0,0,1.34,0,8.03,22.76,0,0,0,0,0,0,1.34,0
3Month,1.92,0,0.32,0,0,1.28,0.32,0.32,0.32,0.32,0.32,0.32,0,0,0.32,0,0,1.28
22Month,2.19,0,0.55,0.55,0.55,15.31,1.09,1.64,0.55,0,1.09,4.92,0.55,0,0,0.55,0,0
