stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,768.24,0,0,12.26,0,0,0,0,0,0,0,0,0,4.09,4.09,8.17,40.86,0,0,0,0,28.6,175.72,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,277.08,0,0,4.28,2.14,8.56,0,0,0,0,0,0,1.07,3.21,17.12,16.05,16.05,0,1.07,0,2.14,791.65,58.84,0,1.07,0,16.05,0,0,11.77,1.07,0,0,0,0
21Day,468.49,0,0,14.72,0,21.42,0,0,0,0,0,8.03,2.68,1.34,12.05,29.45,9.37,0,0,0,1.34,151.25,12.05,0,1.34,0,5.35,6.69,0,1.34,0,5.35,0,0,5.35
3Month,0.96,0.64,0,11.84,0.32,0,1.6,3.2,0.32,31.04,3.2,0.96,6.4,1.28,4.8,4.48,4.48,0.64,0,0.32,1.92,4.16,0,0.32,0.32,0,0,1.28,7.04,0.64,0,0,0.96,2.88,1.92
22Month,1.09,5.47,2.19,13.67,0,0,3.83,10.39,10.93,258.57,8.2,4.37,16.95,1.09,3.28,18.59,24.6,0.55,6.56,2.73,0,6.56,0,0.55,1.09,1.09,0.55,3.28,11.48,1.09,1.09,0,1.09,0,2.73
