stage,Epithelial_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte
72hpf,0,0,0,0,1.07,0,1.07,1.07,0,0,0
21Day,0,0,0,0,0,1.34,1.34,1.34,0,1.34,0
3Month,0.96,2.24,0.32,0.32,0,0,0,0,1.6,0,6.08
