stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,0,0,0,0,1.07,21.4,0,0,0,0,0,0,0
21Day,9.37,2.68,16.06,9.37,8.03,0,2.68,0,2.68,1.34,12.05,0,2.68,13.39,4.02,16.06,0,1.34,0,22.76,12.05,2.68,1.34,13.39,1444.28,0,0,1.34,5.35,0,0,0
3Month,0,0.96,3.2,0,0.32,1.28,0.32,0,33.59,2.24,0,3.52,0.96,1.92,1.28,1.6,0.32,1.28,0.96,0,0,0,0.32,0,618.78,2.24,2.24,0,0,1.28,1.28,0.32
22Month,0,0,0.55,0,0,0,0,7.65,45.37,0,0,0.55,0,0.55,0.55,1.64,0,0,0,0,0,0,0,0,184.22,0,0.55,0,0,0,0,0
