stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,T_cell
21Day,0,0,0,2.68,0,2.68,0,0,0,0,1.34,0,6.69,0,0,4.02,0,1.34,0,2.68,0,0,0,0,1.34,0,0,0,0,2.68,0,0,0,0,0
3Month,0,0.64,2.24,10.56,0.32,0,0.64,0,0.32,5.12,1.28,0,621.34,3.2,0.64,138.54,3.2,4.16,4.48,7.04,1.92,0.96,3.2,1.6,0,0,2.56,0.64,0.96,9.28,1.6,0,0,2.56,2.88
22Month,1.64,3.83,8.2,20.77,0,0,7.65,0.55,0,9.84,18.04,1.09,6851.22,2.19,2.19,274.42,1.09,1.64,12.57,30.07,2.19,109.88,3.83,0,1.09,1.09,4.92,7.11,1.64,12.57,7.65,3.28,3.28,0.55,6.56
