stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,16.35,0,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,20.43,0,0,0,0,0,159.37,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,5.35,4.28,0,0,0,0,0,0,0,0,0,0,0,1.07,4.28,0,8.56,0,0,0,1.07,7.49,13.91,0,0,10.7,0,0,2.14,3.21,0,0,0
21Day,0,0,0,16.06,12.05,1.34,0,2.68,1.34,0,0,0,0,0,0,0,0,6.69,0,13.39,0,0,2.68,0,5.35,6.69,5.35,0,12.05,1.34,0,0,1.34,0,0,0
3Month,0.32,1.6,0,36.15,0.32,0,0,0.32,2.88,3.52,0,0,60.15,2.24,0.32,9.6,3.84,5.44,3.84,7.68,0,0,1.6,1.92,1.28,0,11.52,0,0.32,3.2,36.15,0,0.96,1.6,838.91,3.52
22Month,0,7.65,1.64,39.36,0.55,0,1.09,0,5.47,5.47,44.83,0,137.76,1.64,0.55,37.72,2.73,1.64,2.19,4.37,1.09,10.93,1.64,0.55,0,0,7.65,0.55,0,0.55,11.48,2.19,1.64,0.55,4.37,0.55
