stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0,8.17,0,8.17,16.35,0,0,0,0,4.09,28.6,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,10.7,1.07,10.7,16.05,1.07,0,0,0,0,0,0,0,0,2.14,7.49,1.07,22.47,0,0,0,0,763.83,73.82,0,41.72,19.26,0,0,21.4,0,0,5.35,0,0,0
21Day,2.68,2.68,13.39,2.68,9.37,0,0,1.34,0,2.68,0,1.34,0,2.68,4.02,0,57.56,0,0,4.02,0,210.15,21.42,0,8.03,33.46,10.71,0,9.37,5.35,1.34,1.34,0,0,2.68
3Month,0.32,0,4.8,0,0,0.32,0.32,14.4,0.96,6.08,1.6,0,2.56,0.32,6.4,0.64,48.31,2.56,0.32,0,5.12,1.6,0.96,0.32,0,0,0.32,4.48,0,0,0,3.2,2.56,0.96,0.32
22Month,0,2.19,2.73,0,0,0.55,1.09,3.83,1.09,9.29,1.09,0,0,0,0.55,1.09,46.47,0,0,0.55,0,2.73,0,3.28,0.55,0,0,13.67,0.55,0,0,0,0,0,0
