stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,4.09,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,1.07,0,0,0,0,0,2.14,0,0,0,0,0,9.63,4.28,0,1.07,0,0,1.07,0,0,0,0
21Day,0,0,2.68,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,6.69,2.68,0,0,0,0,0,1.34,0,0,0
3Month,0,0.96,5.44,0.32,0,0.64,2.88,0,11.2,0.32,3.52,0.64,0.96,2.56,2.56,0.32,1.92,0.96,0.96,0.64,0.64,0,0.64,11.52,0,0,0.32,7.68,2.24
22Month,0,0,0.55,0,0,0,0,0.55,3.28,0.55,1.09,0,0,1.09,0.55,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0
