stage,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,4.09,0,12.26,16.35,89.9,4.09,0,0
72hpf,0,0,0,0,0,0,0,1.07,0,0,1.07,1.07,1.07,0,0
21Day,0,2.68,0,0,0,0,0,0,0,0,1.34,0,0,0,0
3Month,0,0.96,0.32,0,1.92,0.32,0.32,0.32,0.32,0.32,0,0,0.32,0.32,0.64
22Month,1.09,0.55,0.55,0.55,1.09,0.55,0,0,0.55,1.64,0,0,0,0,0
