stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,2.14,1.07,0,0,1.07,0,0,0
21Day,0,0,1.34,0,0,0,0,0,1.34,0,0,0,1.34,0,0,0,0,4.02,0,0,0,0,0,0
3Month,0.32,3.52,0,1.28,1.6,0,4.48,0.64,1.6,0.64,2.24,0.96,1.28,0.32,0.32,0.32,0,0.32,0,4.16,0,0.32,0.96,0.64
22Month,0,0.55,0,0,0,0.55,6.01,0,0,0,0.55,0,1.09,0,0,0,0,0,0.55,0.55,0,0,0,0
