stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,1.07,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,1.34,1.34,0,0,0,2.68,1.34,0,0,0,0
3Month,0,0,0,0.32,0.32,0,0,1.92,0.32,0.32,0,0,0,0,0,0.32,0,0,0,0.32,0,0.64
22Month,0,1.09,0.55,2.73,1.64,3.28,1.09,48.65,1.64,6.01,1.09,4.37,2.73,1.09,0.55,0,0.55,0,0.55,0,0.55,0
