stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,16.35,0,32.69,4.09,0,0,0,0,0,0,0,0,0,0,8.17,4.09,12.26,0,0,0,4.09,143.02,0,0,20.43,0,0,0,4.09,0,0,0
72hpf,3.21,1.07,6.42,6.42,1.07,0,1.07,0,0,1.07,0,0,0,2.14,18.19,1.07,13.91,0,1.07,0,19.26,24.61,0,0,11.77,0,0,9.63,2.14,0,0,0
21Day,1.34,0,8.03,4.02,0,0,1.34,0,0,0,0,1.34,0,0,8.03,0,6.69,0,0,1.34,5.35,4.02,0,0,5.35,0,6.69,2.68,0,0,0,0
3Month,0,0.32,16.64,0.64,0,0.32,0,0.64,1.6,7.68,0.96,0,1.92,5.44,1.28,0,6.72,2.56,0,0.32,2.56,0.64,1.92,0.32,0,0.64,81.27,0,0,0.64,213.41,1.28
22Month,0,0,2.19,0,0,0,0.55,0,0,1.64,0,0,0.55,0.55,0,0,0.55,0.55,0,0,1.09,0,0.55,0,0,0,14.21,0,0,0.55,0.55,0
