stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,1.07,1.07,1.07,0,0,0,0,0,0,0,2.14,5.35,0,3.21,0,0,0,335.91,6.42,0,7.49,0,2.14,0,0,2.14,2.14,2.14,0,0,0
21Day,1.34,0,0,4.02,0,6.69,0,0,0,0,0,0,1.34,0,4.02,1.34,1.34,0,0,0,187.39,1.34,0,5.35,0,2.68,5.35,4.02,28.11,1.34,4.02,0,0,1.34
3Month,0,0.32,0,2.56,0,0,0,0,1.28,0.32,2.88,0.64,4.48,0,1.6,0.64,0,0,0.32,1.6,0.96,0,0.64,0.32,0,0,0.64,42.55,0.32,0,0,0.32,0.96,0.64
22Month,0,0,1.09,0,0,0,1.09,0.55,0,2.19,9.29,0.55,15.31,0,0.55,0.55,1.09,0.55,0,0,1.09,0,0,0,5.47,0,0,16.4,0,0,0,0,0,0
