stage,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,0,0,0,32.69,0,0
72hpf,0,0,13.91,1.07,1.07,0
21Day,0,0,4.02,0,0,0
3Month,0,0,0,0,0,0.64
22Month,1.09,0.55,0,0,0,4.37
