stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Mesenchymal_cell,Osteoblast,Retinal_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,16.35,0,0,0
72hpf,1.07,0,0,0,0,0,6.42,1.07,0
21Day,0,0,0,1.34,0,2.68,0,0,2.68
3Month,0.32,0.32,0.32,0.32,0,0.96,0,0,0
22Month,0,0,2.19,0,1.09,3.28,0,0,0
