stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,1.07,0,0,0,0,0,0,7.49,1.07,2.14,3.21,0,0,0,26.74,0,0,0
21Day,1.34,1.34,0,4.02,4.02,1.34,0,1.34,8.03,25.43,2.68,2.68,6.69,1.34,1.34,82.99,0,0,1.34
3Month,0,0.32,0,0.32,0,1.92,0.96,0,4.48,0.64,0,0.32,0,12.8,0,0,2.24,1.6,0.32
22Month,0,0,0.55,0,0,3.83,0,0,0.55,1.09,0,0,0,7.65,0,0.55,1.09,0.55,0
