stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,12.26,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,0,0,0,0,69.47,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,90.93,6.42,0,36.37,16.05,56.7,0,1.07,0,0,0,1.07,0,11.77,111.26,11.77,84.51,0,4.28,1.07,3.21,8661.03,381.92,6.42,3.21,0,114.47,0,1.07,72.75,4.28,5.35,20.33,0,0,0
21Day,26.77,0,0,46.85,1.34,34.8,2.68,0,0,4.02,1.34,5.35,2.68,2.68,21.42,5.35,33.46,0,0,4.02,0,1733.4,99.05,2.68,4.02,0,17.4,38.82,0,10.71,6.69,17.4,8.03,1.34,0,2.68
3Month,0,2.56,0.32,8,0,0,0,2.24,0,8.64,0.96,0.32,1.28,0.32,0.64,0.96,1.92,0.64,0,0.32,0,9.28,0.64,5.76,0,0,0,0.32,7.36,0.32,0,0,0.32,0,3.52,1.28
22Month,0.55,1.64,0.55,5.47,0,0,0.55,3.28,1.09,29.52,1.09,0,2.73,0.55,0,1.64,3.83,0,0.55,1.09,0,4.37,0.55,4.92,0.55,0.55,0,0.55,14.21,0,0.55,0,0,0,0,0
