stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,93.99,20.43,0,130.76,0,4.09,0,0,0,0,4.09,0,0,0,0,28.6,12.26,4.09,294.22,0,0,0,0,102.16,1070.64,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,31.02,13.91,0,10.7,2.14,16.05,0,0,0,0,0,0,0,0,0,6.42,26.74,1.07,126.24,0,0,3.21,0,829.09,225.73,0,4.28,105.91,1.07,0,47.07,0,3.21,0,0,0
21Day,49.53,2.68,0,9.37,0,5.35,0,2.68,0,0,0,2.68,1.34,1.34,2.68,4.02,2.68,2.68,74.96,0,0,12.05,0,36.14,22.76,0,2.68,26.77,1.34,1.34,12.05,4.02,0,0,0,1.34
3Month,0,15.36,0.96,36.79,0,0,0,1.92,1.28,0,0,3.84,1.6,0.64,7.68,87.03,1.92,1.6,56.63,0.96,0,2.56,42.55,2.88,0,0,2.24,0.32,1.6,4.16,0.32,0,0.32,0.64,4.8,0.64
22Month,0,22.41,4.92,43.73,0,0,1.09,2.73,2.19,4.92,0,19.13,1.09,1.09,4.37,22.96,1.09,2.19,46.47,0.55,0.55,3.83,1.64,1.09,1.09,1.64,2.73,0,1.09,8.2,0,0,0.55,0,0,0
