stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Granulocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,20.43,4.09,0,0,0,0,0,0,0,0
72hpf,1.07,2.14,1.07,1.07,1.07,0,0,0,0,0,0,6.42,0,55.63,1.07,0,4.28,0,0,25.67,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,1.34,0,40.16,0,0,0,0,0,2.68,0,0,0
3Month,0,0.32,2.24,0,0,0.32,0.32,0.32,0.96,0.32,0.64,1.6,0.32,11.84,0,0.32,0,0.32,0.32,1.6,12.48,0.32,0.32
22Month,0,0,0,0,0,0,0,0,0,0,0.55,0,0,1.64,0,0,0,0,0,0,0,0,0
