stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,1.07,0,0,0,1.07,5.35,0,0,0,0,0,0,1.07,3.21,0,0,0,0,0,0
21Day,1.34,0,4.02,12.05,0,0,0,0,2.68,1.34,0,16.06,1.34,0,0,0,1.34,0,0,1.34,0,1.34,0,0,0,5.35
3Month,0,0.64,0.96,10.88,3.2,0.32,6.4,1.6,0,15.36,0.32,1.6,4.16,0.96,0.64,0,1.92,0.32,0.32,0,0.32,0.32,1.6,0,0.96,4.8
22Month,0,0,2.19,7.65,0.55,3.83,20.77,1.09,2.19,27.33,0,2.19,4.37,1.09,0,1.64,1.09,0,0,0,0.55,0,0.55,1.09,0,1.64
