stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,0,8.17,0,0,0,0,0,0,0,0,4.09,0,4.09,98.07,0,0,0,0,4.09,57.21,0,0,0,0,0,0,0,0
72hpf,5.35,0,2.14,0,0,0,0,0,0,0,0,1.07,20.33,0,6.42,0,7.49,0,0,4.28,1.07,0,1.07,0,0,0,0,0,0
21Day,9.37,0,4.02,1.34,0,1.34,0,0,2.68,0,0,8.03,0,0,4.02,0,0,1.34,0,0,0,0,2.68,1.34,0,0,0,0,0
3Month,2.56,0.96,4.16,0,0.64,0,1.92,0,53.75,0.64,0.32,7.68,0.32,0.96,0.96,0.32,0,0.64,0.32,0,0,0,0,0.32,1.28,0,0.32,4.48,0.32
22Month,13.67,0.55,2.19,0,0.55,0,2.73,9.29,139.94,0,1.09,8.75,0,0.55,1.64,0,3.83,0,0,0,0,0.55,0.55,1.09,1.09,0.55,0.55,0,0
